Local time,Ask,Bid,AskVolume,BidVolume
08.10.2022 00:00:22.673 GMT+0800,142.05100000000002,142.03799999999998,1.2,1.32
08.10.2022 00:00:22.825 GMT+0800,142.05200000000002,142.03799999999998,1.8,1.32
08.10.2022 00:00:22.927 GMT+0800,142.05200000000002,142.03799999999998,1.34,1.32
08.10.2022 00:00:23.028 GMT+0800,142.05200000000002,142.03799999999998,1.94,1.32
08.10.2022 00:00:24.044 GMT+0800,142.05200000000002,142.039,1.8,1.32
08.10.2022 00:00:24.095 GMT+0800,142.05200000000002,142.039,1.2,1.92
08.10.2022 00:00:24.147 GMT+0800,142.053,142.039,1.34,1.92
08.10.2022 00:00:24.350 GMT+0800,142.053,142.04,2.24,1.32
08.10.2022 00:00:24.637 GMT+0800,142.053,142.04,2.24,1.32
08.10.2022 00:00:24.890 GMT+0800,142.053,142.039,2.4,1.92
08.10.2022 00:00:25.143 GMT+0800,142.05200000000002,142.039,1.2,1.32
08.10.2022 00:00:25.448 GMT+0800,142.05100000000002,142.039,1.2,1.32
08.10.2022 00:00:25.549 GMT+0800,142.05200000000002,142.03799999999998,1.8,1.2
08.10.2022 00:00:25.651 GMT+0800,142.05200000000002,142.037,1.94,2.34
08.10.2022 00:00:25.905 GMT+0800,142.05,142.036,2.4,1.8
08.10.2022 00:00:26.006 GMT+0800,142.04,142.034,1.8,1.44
08.10.2022 00:00:26.057 GMT+0800,142.039,142.026,1.2,1.2
08.10.2022 00:00:26.159 GMT+0800,142.036,142.023,1.2,4.58
08.10.2022 00:00:26.412 GMT+0800,142.042,142.035,1.8,2.4
08.10.2022 00:00:26.514 GMT+0800,142.05100000000002,142.034,2.84,1.44
08.10.2022 00:00:26.565 GMT+0800,142.048,142.033,1.2,3.86
08.10.2022 00:00:26.616 GMT+0800,142.047,142.034,1.2,1.32
08.10.2022 00:00:26.768 GMT+0800,142.049,142.034,1.2,1.92
08.10.2022 00:00:26.819 GMT+0800,142.049,142.034,1.2,1.2
08.10.2022 00:00:26.920 GMT+0800,142.048,142.034,2.4,1.2
08.10.2022 00:00:27.123 GMT+0800,142.05,142.035,1.2,1.92
08.10.2022 00:00:27.174 GMT+0800,142.049,142.034,1.2,2.48
08.10.2022 00:00:27.327 GMT+0800,142.05,142.035,1.2,1.92
08.10.2022 00:00:27.851 GMT+0800,142.05100000000002,142.037,1.34,2.04
08.10.2022 00:00:27.953 GMT+0800,142.053,142.03799999999998,1.2,1.92
08.10.2022 00:00:28.230 GMT+0800,142.05,142.03799999999998,1.2,1.2
08.10.2022 00:00:28.339 GMT+0800,142.04,142.02700000000002,1.8,1.8
08.10.2022 00:00:28.440 GMT+0800,142.041,142.026,1.2,1.2
08.10.2022 00:00:28.542 GMT+0800,142.04,142.029,1.2,1.32
08.10.2022 00:00:28.644 GMT+0800,142.04500000000002,142.028,1.8,1.92
08.10.2022 00:00:28.796 GMT+0800,142.042,142.029,1.2,1.44
08.10.2022 00:00:29.099 GMT+0800,142.043,142.029,1.8,1.92
08.10.2022 00:00:29.275 GMT+0800,142.043,142.03,1.2,1.92
08.10.2022 00:00:29.385 GMT+0800,142.043,142.03,1.8,1.92
08.10.2022 00:00:29.486 GMT+0800,142.043,142.029,2.4,1.2
08.10.2022 00:00:29.790 GMT+0800,142.043,142.029,2.4,1.2
08.10.2022 00:00:29.891 GMT+0800,142.041,142.026,3.74,1.92
08.10.2022 00:00:30.043 GMT+0800,142.041,142.02700000000002,3.3,1.2
08.10.2022 00:00:30.145 GMT+0800,142.041,142.028,1.8,1.2
08.10.2022 00:00:30.348 GMT+0800,142.041,142.026,2.84,1.92
08.10.2022 00:00:30.804 GMT+0800,142.04,142.026,1.2,1.32
08.10.2022 00:00:31.209 GMT+0800,142.041,142.026,2.4,1.92
